Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,34.87459102,15.99981237,0,0,11.24986807,4.999941364,5.749932569,2.999964819,0,1.999976546,0,0,4.999941364,0.999988273,0,0.999988273,0,0,0,0.249997068,0,0,0.999988273,0,0,0,0,0.999988273,0,0,0.999988273,4.999941364,1.999976546,2.999964819,1.999976546,0,2.999964819,0.999988273,0,1.999976546,2.999964819,0,0.999988273,0.999988273,0,4.999941364,0,1.999976546,0,0,0,0.999988273,3.999953092,0,0.999988273,0,0.999988273,0,0
SD06,Rocky Mountain,23.24972734,0,10.999871,0,0,1.124986807,1.999976546,6.99991791,0,0,2.999964819,0,0,2.999964819,0,0,0,0,0,0.999988273,0.999988273,0,0,0,0,0.999988273,0,0,0.999988273,0,0,0,0.999988273,0,0,0,2.999964819,0,0,0,3.124963353,0.999988273,0.999988273,0.999988273,3.999953092,0,0.999988273,0,0,0,0,0,0,0.999988273,0,0,0,1.999976546,0,0
SD08,Kootenay Lake,14.24983289,12.87484901,0,2.999964819,0,50.24941071,0.999988273,5.999929637,1.249985341,5.999929637,0.749991205,1.499982409,0,0,0.999988273,0,2.999964819,0,0,0.999988273,0,0,0,0,0,1.999976546,0,0.999988273,0,0,0,0,1.999976546,0.999988273,1.999976546,1.999976546,2.999964819,0.999988273,3.124963353,0.999988273,4.999941364,0.374995602,0.999988273,0,11.87486074,2.874966285,1.999976546,0,0,0.999988273,2.874966285,0,0,4.999941364,0,0,0,5.624934035,0,0.999988273
SD10,Arrow Lakes,0.999988273,0,3.999953092,0,2.374972148,0.999988273,0.999988273,0,0,0,0.999988273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999964819,0,0,0,1.999976546,0,0,0,0,0,0,0,0,0.999988273,0,0,0.124998534,0,0,0,0,0,0,0,0,3.999953092,0,0,0,0.999988273,0,0
SD19,Revelstoke,0.874989739,0.999988273,1.999976546,0,0,0,4.124951626,2.999964819,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0.999988273,0,0,0,0,0,0,0,0,0,0,0,1.499982409,1.124986807,0,0,0,0,0,0,0,0,0.999988273,0,0,0,1.999976546,0,0,0,0,0,0,15.12482263,0,0,0,0.999988273,0,0
SD20,Kootenay - Columbia,7.124916444,4.999941364,35.24958662,1.999976546,0,0,0,5.124939898,1.999976546,0,1.999976546,0,0,3.999953092,0.999988273,0,0,0,1.999976546,0.999988273,1.249985341,0,0.999988273,0,0,0,0,0,3.999953092,2.499970682,0,0,4.124951626,3.499958955,0,0,1.124986807,0.999988273,0,0,0,0,0,0.999988273,7.499912047,0.999988273,2.999964819,0.999988273,1.249985341,0,1.999976546,0,0,1.999976546,0,0,0,4.124951626,0,0
SD22,Vernon,0.999988273,4.999941364,1.624980943,1.999976546,0,0.999988273,0,43.99948401,1.999976546,3.999953092,5.999929637,2.999964819,0.999988273,10.12488126,2.999964819,0,0.999988273,0.999988273,1.999976546,0.999988273,2.999964819,0,0,0,0,0,0,0,1.999976546,0.999988273,2.999964819,0,4.999941364,4.24995016,1.999976546,1.999976546,0,3.999953092,0.999988273,0,3.749956023,4.999941364,0.999988273,1.999976546,4.999941364,0,21.37474933,1.999976546,2.999964819,0,0,0.999988273,1.749979478,68.74919376,0,0,0,12.24985634,0,1.999976546
SD23,Central Okanagan,9.999882729,1.999976546,5.999929637,5.999929637,2.249973614,11.99985927,47.74944003,0,13.99983582,2.999964819,8.999894456,11.99985927,4.999941364,8.999894456,9.999882729,0.999988273,8.999894456,0,1.999976546,5.999929637,5.249938433,7.999906183,3.999953092,2.999964819,0,0,0,0,11.99985927,0,18.24978598,0.999988273,22.87473174,14.37483142,1.999976546,3.999953092,5.93743037,4.999941364,3.999953092,0,41.99950746,13.99983582,0,0,13.87483729,0,29.81215038,1.999976546,0.999988273,1.999976546,2.999964819,1.999976546,3.124963353,20.99975373,0,0,0,19.62476986,0,3.999953092
SD27,Cariboo - Chilcotin,1.999976546,1.999976546,0,0,0,0,5.999929637,9.999882729,0,12.74985048,1.874978012,4.999941364,2.999964819,5.999929637,0,0,0.999988273,0,1.874978012,3.999953092,0,0.999988273,0,0.999988273,0,0.999988273,0,0,0.999988273,0,3.999953092,0.749991205,23.87472001,6.99991791,4.999941364,2.999964819,2.999964819,2.999964819,1.374983875,0,12.99984755,1.999976546,0,0,1.999976546,0.999988273,38.87454411,3.999953092,0,0,3.999953092,0,2.999964819,3.124963353,0,0.999988273,0,10.999871,0,0
SD28,Quesnel,0.999988273,0,0.999988273,0,0,2.999964819,4.124951626,0.999988273,12.99984755,0,1.999976546,0.999988273,0,1.999976546,0.999988273,0,0.999988273,0,0,0.999988273,0,0,0,0,0.999988273,0,0,0,0,2.999964819,0,0,18.99977718,2.12497508,1.749979478,9.12489299,0,0,0,0.999988273,0.999988273,0.999988273,0,0.999988273,1.249985341,1.999976546,8.999894456,0.999988273,0,0,2.999964819,0,0.999988273,1.999976546,0,0,0,6.624922308,0,0
SD33,Chilliwack,0.999988273,0.999988273,0,1.999976546,0.999988273,0,5.124939898,17.12479917,17.99978891,7.999906183,0,71.74915858,27.18718117,34.49959541,2.999964819,5.499935501,8.999894456,0.999988273,9.999882729,12.37485488,11.3748666,4.124951626,0.999988273,4.999941364,0,4.999941364,0,2.999964819,0,1.06248754,8.093705083,1.999976546,10.999871,4.999941364,1.999976546,1.187486074,0.999988273,6.093728537,0.999988273,0.999988273,4.062452359,2.062475813,3.18746262,2.999964819,2.187474347,0,44.12448254,0.999988273,17.06229991,62.93676192,2.062475813,0,1.999976546,7.999906183,0,2.062475813,0,15.06232336,0,0
SD34,Abbotsford,0.999988273,0,0,0,0,1.999976546,2.499970682,23.12472881,9.999882729,6.124928171,154.2481911,0,77.87408675,67.12421282,9.12489299,2.999964819,6.99991791,3.999953092,9.999882729,4.999941364,16.37480797,1.999976546,6.99991791,0,0.999988273,0.999988273,0,0,2.999964819,0,0.999988273,0.999988273,9.999882729,7.999906183,0,6.99991791,1.124986807,1.999976546,0.999988273,0,1.999976546,8.124904717,0.999988273,2.999964819,1.249985341,5.999929637,46.24945762,0.999988273,63.49925533,13.99983582,8.999894456,0,1.999976546,4.124951626,0,0,0,6.499923774,0,3.249961887
SD35,Langley,0,2.999964819,0.874989739,1.999976546,0.999988273,3.999953092,11.99985927,50.74940485,7.999906183,5.999929637,64.4992436,105.8737584,0,202.7476223,14.99982409,5.999929637,11.87486074,0.999988273,13.12484608,24.99970682,19.87476692,3.499958955,2.999964819,2.999964819,6.499923774,0.999988273,0,0,0,0,2.999964819,0.999988273,9.499888592,3.749956023,1.999976546,0,2.999964819,4.999941364,0.999988273,0,7.999906183,14.12483435,1.999976546,1.999976546,11.87486074,3.999953092,21.87474347,0,23.99971855,8.999894456,5.999929637,0,0,11.99985927,0,0.999988273,0,8.499900319,0,3.999953092
SD36,Surrey,2.999964819,1.999976546,11.3748666,0,0,5.999929637,15.3748197,53.124377,15.12482263,10.999871,125.686026,174.3729551,337.246045,0,276.4342582,55.62434768,112.4986807,22.99973028,79.62406623,72.49914978,72.24915271,14.99982409,8.999894456,8.999894456,4.999941364,4.87494283,0,0,3.999953092,5.124939898,5.249938433,5.999929637,21.999742,8.249903251,6.99991791,6.99991791,19.37477279,11.12486954,7.249914978,2.999964819,14.99982409,20.99975373,5.999929637,6.99991791,28.62466431,11.99985927,38.18705217,1.999976546,24.99970682,6.99991791,8.999894456,0,4.999941364,9.999882729,0,1.999976546,0,29.37465552,0.999988273,8.999894456
SD37,Delta,0.999988273,1.249985341,0.874989739,0,0,3.999953092,5.999929637,18.49978305,0.999988273,0,13.99983582,18.87477865,23.99971855,175.1229463,0,26.24969216,16.4998065,2.999964819,9.999882729,5.999929637,9.999882729,0.999988273,2.74996775,0,0.999988273,2.999964819,0,0,0,0,2.999964819,2.999964819,3.999953092,2.874966285,0,0,11.12486954,6.99991791,6.624922308,0.999988273,1.749979478,10.6248754,9.999882729,0,3.999953092,0,4.87494283,0,4.999941364,2.999964819,3.874954557,0,0,0.999988273,0,0,0,100.3738229,0,3.999953092
SD38,Richmond,0,0,0.874989739,0,0,0,5.999929637,12.99984755,2.999964819,0.999988273,2.874966285,0.999988273,19.99976546,97.4988566,55.99934328,0,125.2485312,18.99977718,27.62467604,8.374901785,12.99984755,4.999941364,8.999894456,1.999976546,1.999976546,3.999953092,0,0,0,0,0,0.999988273,0,4.374948694,0,0.249997068,4.999941364,1.999976546,4.87494283,0,1.999976546,0.999988273,0.999988273,0,15.12482263,1.999976546,9.12489299,0,0,0.999988273,1.999976546,0,0,0.999988273,0,0,0,17.24979771,0.999988273,0
SD39,Vancouver,0.999988273,0,3.999953092,0,0.999988273,0,2.999964819,17.87479038,0.999988273,0,26.24969216,17.99978891,36.24957489,206.1225827,59.62430077,108.9987217,0,46.99944882,195.0602125,20.18726326,71.24916444,53.24937553,51.12440045,11.99985927,0.874989739,16.99980064,0.999988273,0.999988273,0.999988273,1.999976546,1.749979478,0.999988273,2.999964819,8.624898854,0,0,37.99955437,5.874931103,8.624898854,18.99977718,4.999941364,8.999894456,7.999906183,2.999964819,63.87425093,6.062428904,8.874895922,0.999988273,7.124916444,1.999976546,5.999929637,0,2.999964819,2.624969216,0,0.999988273,0,28.74966284,0.999988273,19.12477572
SD40,New Westminster,0,0,1.999976546,0,0,0.999988273,0.999988273,1.999976546,2.999964819,0,3.999953092,7.999906183,16.99980064,62.99926119,10.999871,17.99978891,29.87464965,0,79.74906476,11.99985927,38.99954264,10.999871,11.99985927,0,0,0,0,0,0,0,0.999988273,0,0,0.999988273,0,0.999988273,3.124963353,1.999976546,0,16.99980064,0,2.999964819,0,0,53.8743682,3.999953092,0.999988273,0,4.24995016,0.999988273,0.999988273,0,0,0.999988273,0,0,0,1.999976546,0,1.999976546
SD41,Burnaby,0,0.999988273,0,0.999988273,0,1.999976546,0,6.99991791,0,2.999964819,9.874884195,12.99984755,57.99931983,183.8728437,23.99971855,28.87466138,162.7480914,78.74907649,0,35.62458222,187.2478041,8.999894456,23.12472881,1.999976546,3.999953092,3.999953092,1.999976546,0,0.999988273,0.999988273,1.999976546,0,4.999941364,0,0,2.999964819,8.999894456,3.999953092,1.999976546,1.999976546,4.999941364,19.12477572,0,1.999976546,11.12486954,0.999988273,4.999941364,1.999976546,3.999953092,0,1.999976546,0,3.999953092,0.999988273,0,0,0.999988273,5.249938433,2.999964819,6.99991791
SD42,Maple Ridge - Pitt Meadows,5.999929637,0.999988273,0.999988273,0,0.999988273,1.999976546,2.999964819,6.99991791,3.999953092,3.999953092,15.12482263,23.37472588,26.12469363,37.99955437,5.999929637,2.999964819,9.999882729,2.999964819,10.49987687,0,78.62407795,0,2.999964819,1.999976546,0.999988273,0.999988273,0,0,0,0,4.999941364,3.999953092,7.999906183,1.999976546,0,1.999976546,1.999976546,3.124963353,2.374972148,2.999964819,4.999941364,6.99991791,5.999929637,1.999976546,1.999976546,6.99991791,10.999871,1.999976546,52.24938726,1.999976546,3.999953092,0,0,4.999941364,0,1.999976546,0,11.12486954,0,0.999988273
SD43,Coquitlam,0,0,5.999929637,1.999976546,0,0.999988273,6.99991791,22.99973028,3.124963353,2.999964819,17.99978891,9.999882729,55.12435354,88.12396655,14.99982409,16.99980064,45.74946348,16.99980064,71.93665638,153.998194,0,21.87474347,8.999894456,0.999988273,3.374960421,7.999906183,0,1.999976546,0.999988273,0,0.999988273,1.999976546,9.999882729,2.999964819,2.999964819,13.74983875,5.999929637,9.74988566,5.999929637,1.999976546,9.999882729,15.99981237,0,4.999941364,11.62486367,8.124904717,10.999871,0,14.87482556,2.999964819,2.999964819,0,0,8.999894456,0,0,0,3.124963353,0,6.99991791
SD44,North Vancouver,0,0,1.999976546,0,0,0.624992671,7.999906183,4.062452359,0,0.999988273,9.999882729,3.999953092,9.999882729,13.99983582,6.749920842,1.124986807,22.74973321,3.999953092,19.68726912,9.999882729,39.12454118,0,104.1237789,13.12484608,0,10.999871,0,0,0,0,3.999953092,0,1.999976546,2.812467017,0,0,4.999941364,7.374913512,4.749944296,0.999988273,1.999976546,14.37483142,4.999941364,0,10.56237613,0,0.999988273,0,0,0,4.24995016,0,0.999988273,0.999988273,0,0,0,3.937453824,0,1.999976546
SD45,West Vancouver,0,0,0,0,0,0,2.999964819,4.999941364,0,0,1.999976546,0.999988273,1.999976546,6.99991791,3.999953092,0.999988273,30.74963939,6.99991791,7.812408382,1.999976546,12.99984755,56.93683229,0,2.999964819,0,11.12486954,0,0,0,0,0,0,0,0,0,0,4.999941364,1.999976546,4.24995016,0,1.999976546,1.999976546,0,0,8.749897388,0,0,0,0,0,0,0,0.999988273,0,0,0,0,5.124939898,0,0.999988273
SD46,Sunshine Coast,0,0,2.999964819,0,0,0,2.249973614,0,0.999988273,0,3.249961887,0.999988273,4.124951626,4.24995016,0,0.999988273,8.999894456,0.999988273,0,0,3.124963353,7.999906183,6.124928171,0,7.999906183,0,0,0,0,0,0,1.999976546,0.999988273,0.999988273,0,0,0.999988273,0,0,0,1.999976546,4.124951626,2.999964819,1.999976546,10.999871,0,0,0,1.999976546,0,0,0,0,0.999988273,0,0,0,0,0,0
SD47,Powell River,2.999964819,0,0,0.999988273,0,2.12497508,0,0.999988273,0,0.999988273,0,2.999964819,1.999976546,5.999929637,0.999988273,0.999988273,1.874978012,1.999976546,1.624980943,0.999988273,0,0.999988273,0.999988273,5.999929637,0,0.999988273,0,2.999964819,0,0,0,0,0,0,0,1.999976546,0.999988273,0,0.999988273,2.999964819,0,4.999941364,0.999988273,1.999976546,21.49974787,5.999929637,1.999976546,0,0,0,2.999964819,0,1.999976546,0,0,0.249997068,0,0,0,0.999988273
SD48,Sea to Sky,0,0,3.999953092,0,0,0.999988273,5.999929637,4.999941364,1.999976546,0.999988273,11.12486954,0.999988273,1.999976546,0.999988273,2.249973614,0,6.124928171,0,6.99991791,0,1.999976546,16.99980064,11.99985927,7.999906183,2.12497508,0,0,0,0,0,0.999988273,0,0.999988273,5.374936967,3.124963353,0.999988273,1.999976546,2.999964819,0,0,1.999976546,2.999964819,1.999976546,1.999976546,19.37477279,2.249973614,5.999929637,0.999988273,1.999976546,3.999953092,4.999941364,0,0,2.999964819,0,0,0,1.999976546,0,4.999941364
SD49,Central Coast,0,0,0,0,0,0,0,0,2.999964819,0,0,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0.999988273,0.999988273,0,0,0,0,0,0,0,0,0,1.999976546,0,0,0,0
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0,0.999988273,1.999976546,0,0,4.999941364,0,0,1.999976546,0,0,0,0,0,7.999906183,0.999988273,0.999988273,0.999988273,0,0,0,2.999964819,0,0,1.999976546,0,0,0,1.999976546,1.999976546,1.999976546,0,0,0.999988273,0,0,0,1.999976546,0,0,0,0,0,0,0
