Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD51,Boundary,1.999976546,0,2.999964819,0,0,6.99991791,1.999976546,14.99982409,0.999988273,0,0.999988273,0.999988273,2.999964819,0.999988273,0,0,0,0,0,0,1.999976546,0,0,0,0,0,0,0,0,0,2.999964819,0,0,1.999976546,3.999953092,0.999988273,1.999976546,0.999988273,0,0,0.999988273,1.999976546,0,0,0,0,4.999941364,0,0,0,0,0,1.999976546,1.999976546,0,0,0,4.999941364,0,0
SD52,Prince Rupert,0,0,0,0,0,0,0,3.999953092,1.999976546,0,0.999988273,0.999988273,0.999988273,1.124986807,0.999988273,0.999988273,6.99991791,0,3.999953092,0,0.999988273,0.999988273,0,0,0,0,0,2.999964819,0.999988273,0,0,0,16.99980064,0.999988273,0,0,0.874989739,0.999988273,0,0,2.999964819,2.874966285,2.12497508,0.999988273,0,0.999988273,0,0,0,0,0,0,24.12471708,0,0,0,0,2.374972148,1.999976546,0
SD53,Okanagan Similkameen,0,1.999976546,0,1.249985341,0,0,4.999941364,12.37485488,0.999988273,0,0,0.999988273,4.24995016,7.999906183,0,0,2.12497508,0,1.999976546,2.999964819,0.999988273,0,0,2.12497508,0,0,0,0,3.999953092,0,0,0,1.999976546,2.12497508,0,0,1.999976546,0,0,0,27.99967164,0,0.124998534,0,2.374972148,0,9.249891524,0,0,0,0.999988273,0,0,6.99991791,0,0,0,0.999988273,0,0
SD54,Bulkley Valley,4.124951626,1.999976546,0,0,0,0,0.999988273,0.999988273,1.999976546,0,0,0,0,0,0,0,1.999976546,0,0,0,1.999976546,0,0,1.999976546,0,0,0,0.999988273,0,1.999976546,2.999964819,0,10.999871,0,0,0,0.999988273,0,1.124986807,0,1.999976546,0,0.999988273,0,7.999906183,0.999988273,0,0,2.999964819,0,0,0,15.99981237,0,0,0.999988273,0,5.874931103,0,0
SD57,Prince George,0.999988273,0.999988273,3.999953092,0,0,1.999976546,3.999953092,13.74983875,26.12469363,6.99991791,6.99991791,2.249973614,4.87494283,6.99991791,6.99991791,0.999988273,8.874895922,0,1.999976546,2.999964819,0.999988273,0.999988273,0,0,1.999976546,0,0,0.999988273,0,11.99985927,2.999964819,13.87483729,0,5.999929637,14.99982409,7.999906183,3.999953092,3.999953092,3.124963353,0,4.999941364,5.624934035,0.999988273,3.249961887,3.999953092,0.999988273,19.24977425,0,0,1.999976546,3.999953092,0,20.62475813,11.99985927,0.999988273,0,0,62.37426852,1.999976546,4.999941364
SD58,Nicola - Similkameen,0.999988273,1.999976546,0,0,0,0,3.374960421,11.87486074,8.999894456,0,0.999988273,0.999988273,1.999976546,2.999964819,0,0,0,0,0.999988273,0.999988273,0.999988273,0,0,0,1.999976546,0,0,0,0,0,10.87487247,0,0.999988273,0,1.249985341,0,1.999976546,0,0.999988273,0,7.124916444,0.999988273,0,0,0,0,18.37478451,1.999976546,0,1.999976546,1.999976546,0,0,3.124963353,0,0,0,7.124916444,0,0
SD59,Peace River South,2.999964819,0.999988273,1.999976546,0.999988273,1.999976546,0,8.374901785,5.374936967,3.999953092,0.999988273,2.999964819,3.999953092,0,3.999953092,1.999976546,0,0.999988273,0,0,0,0.999988273,0,0,0,0,0,0,0.999988273,0,0,0,0,13.12484608,1.999976546,0,18.37478451,5.999929637,3.124963353,2.999964819,0,0,5.999929637,0.999988273,0,0.999988273,0,7.999906183,0.999988273,0.999988273,2.999964819,0,4.999941364,0.999988273,7.999906183,0,0.999988273,0.999988273,0.999988273,0,0
SD60,Peace River North,0,0,2.062475813,0.999988273,0.999988273,1.999976546,0.999988273,9.12489299,8.374901785,5.999929637,10.12488126,3.687456756,4.187450893,0,0,0,0,0,1.999976546,0.999988273,3.937453824,0,0,0,0,1.999976546,0,0,8.124904717,1.999976546,0,0,14.87482556,1.999976546,15.06232336,0,0,2.999964819,0.374995602,0.999988273,9.999882729,3.999953092,0,1.124986807,6.437424507,0,8.124904717,0.999988273,2.999964819,1.999976546,0,7.937406916,2.999964819,22.37473761,0,0,0,3.999953092,0,0
SD61,Greater Victoria,1.999976546,0,4.999941364,0,0,0.999988273,0,4.999941364,0,0,0,1.999976546,2.249973614,18.12478745,0,3.999953092,14.49982996,0.999988273,8.249903251,1.999976546,4.999941364,2.999964819,2.999964819,2.999964819,2.999964819,0.999988273,0,1.999976546,0,1.999976546,1.999976546,0,6.99991791,2.999964819,0,0,0,153.3107021,294.9343412,5.999929637,1.999976546,18.99977718,4.87494283,7.999906183,24.49971269,6.99991791,6.99991791,0.999988273,0,0,31.12463499,0,0.999988273,1.999976546,1.999976546,0.999988273,0,2.999964819,0,3.999953092
SD62,Sooke,0,0,0,0,0,2.999964819,1.124986807,3.999953092,0.999988273,5.249938433,4.124951626,0,1.999976546,9.999882729,2.999964819,0.999988273,2.12497508,0.999988273,1.624980943,0,0,0,0,0.999988273,0.999988273,0,0,0,0,0,2.12497508,0,5.999929637,2.12497508,0,0,111.1236968,0,53.37437406,0.999988273,1.999976546,6.874919376,3.999953092,2.999964819,19.99976546,5.999929637,1.624980943,0.999988273,1.999976546,0,35.99957782,0,1.999976546,0.999988273,3.999953092,1.999976546,0,5.124939898,0,1.999976546
SD63,Saanich,0.999988273,0,0,0,0,0,0.374995602,1.999976546,1.999976546,0,0,1.999976546,3.999953092,1.999976546,0.999988273,0.999988273,0.249997068,0,0.999988273,0.999988273,0.999988273,0,0.999988273,0,1.999976546,1.999976546,0,0,0,0,0,0,0,0,0,0,92.87391084,42.8744972,0,4.87494283,0,6.124928171,4.999941364,2.12497508,9.999882729,0.999988273,4.999941364,0,0.999988273,0,15.99981237,0,2.249973614,0,0,0,0,5.374936967,0,0
SD64,Gulf Islands,0.999988273,0,1.999976546,0,0,0,0.999988273,0.999988273,0.999988273,0,0,0,0,1.999976546,0,1.124986807,18.87477865,0.999988273,3.999953092,0,0.999988273,0,0,1.999976546,1.999976546,0,0,0,0,0,0,0,0,0,0,0,13.24984462,4.124951626,6.624922308,0,0,1.874978012,3.624957489,0.999988273,3.999953092,1.124986807,0.999988273,0,0,0,11.24986807,0,0,0,0,0,0,4.24995016,0,0
SD67,Okanagan Skaha,0,0.999988273,1.124986807,1.999976546,0.999988273,7.124916444,11.99985927,35.49958369,1.999976546,0,0.999988273,9.12489299,5.999929637,11.24986807,0,0,0.999988273,0,1.749979478,0,2.999964819,0,0.999988273,0.999988273,0,1.124986807,0,0,2.999964819,0,40.99951919,0,8.124904717,9.062393723,0,0.999988273,5.999929637,1.124986807,0.999988273,0,0,0.999988273,3.999953092,0,5.999929637,2.999964819,9.999882729,1.999976546,0,0,5.124939898,0,0,3.124963353,0,0,0,1.999976546,0,1.999976546
SD68,Nanaimo - Ladysmith,0,1.999976546,0.999988273,0,0,0.999988273,0.999988273,11.87486074,0.999988273,2.999964819,0.999988273,2.999964819,1.999976546,8.999894456,3.999953092,2.999964819,10.999871,0.999988273,2.999964819,1.999976546,6.99991791,0,1.999976546,0.999988273,2.999964819,2.12497508,0,0.999988273,0.999988273,0,0,0,6.99991791,0,0,5.874931103,12.99984755,18.87477865,2.999964819,0.999988273,1.999976546,0,42.24950453,36.74956903,50.62440631,22.87473174,6.99991791,0,0,2.999964819,36.9995661,0.999988273,0.999988273,2.999964819,40.62452359,4.999941364,0.999988273,4.999941364,0,3.999953092
SD69,Qualicum,0,0.999988273,1.999976546,0,0,0.999988273,0,0,1.999976546,2.999964819,2.999964819,2.999964819,0,3.124963353,0,0,0,0,0.499994136,1.999976546,0.999988273,0,0.999988273,1.999976546,0.999988273,0,0,0,0,0,0,0,1.999976546,1.999976546,0.999988273,0,0.999988273,4.999941364,0.374995602,0,0,34.24959835,0,13.99983582,18.74978012,1.999976546,1.999976546,0,0,0,4.999941364,0,0.999988273,0,4.999941364,3.999953092,0,0,0,0
SD70,Alberni,0,3.999953092,0.999988273,0,0.999988273,0,0,0.999988273,0,2.999964819,0.999988273,1.999976546,0,5.999929637,0.999988273,0,7.999906183,0,0.999988273,0,0,0,0,0,0,0,0,0,0.999988273,0,0,0,5.999929637,0.999988273,4.999941364,0.999988273,10.12488126,3.999953092,3.999953092,1.999976546,1.999976546,24.62471122,11.99985927,0,23.93721928,8.999894456,0.999988273,0,0,0,4.999941364,0,0.999988273,0.999988273,3.999953092,2.999964819,0,0.874989739,0,2.999964819
SD71,Comox Valley,0,5.249938433,3.124963353,0,1.999976546,3.999953092,2.999964819,2.999964819,3.499958955,0,0.999988273,0.999988273,6.99991791,5.999929637,0.999988273,0,3.249961887,10.999871,4.999941364,0.999988273,3.374960421,5.374936967,1.999976546,0.124998534,42.93699647,4.999941364,0,0,0,1.999976546,1.999976546,0,5.249938433,0,0,3.124963353,11.06237027,15.99981237,4.999941364,22.99973028,0.999988273,46.81195102,14.99982409,6.99991791,0,42.93699647,5.999929637,0,0,0.999988273,29.99964819,0,1.999976546,1.999976546,3.999953092,10.999871,0,3.999953092,0,4.999941364
SD72,Campbell River,0.999988273,0,0.999988273,0,0,0.999988273,1.999976546,0,0.999988273,0.999988273,6.99991791,0.999988273,0,2.999964819,0,0.999988273,0.999988273,4.999941364,2.999964819,0,2.999964819,0,0,0.999988273,2.999964819,0.999988273,3.999953092,0,0,0,0,0,0.999988273,0.999988273,0,2.999964819,3.874954557,11.87486074,0,0,3.999953092,18.12478745,2.874966285,2.999964819,28.24966871,0,0,0,0,0,1.999976546,0,0,0,6.124928171,15.99981237,0,5.249938433,0,10.999871
SD73,Kamloops - Thompson,0.999988273,2.999964819,2.999964819,3.999953092,0.999988273,0.999988273,23.99971855,22.74973321,19.12477572,7.999906183,8.999894456,11.99985927,4.999941364,15.12482263,4.999941364,0.999988273,1.999976546,2.999964819,1.999976546,0.999988273,3.999953092,1.999976546,0.999988273,4.999941364,0,2.999964819,0.999988273,0,5.999929637,2.999964819,3.999953092,4.999941364,20.99975373,25.62469949,8.124904717,4.999941364,7.124916444,4.999941364,0.999988273,0.999988273,21.999742,2.999964819,1.999976546,2.999964819,6.624922308,6.99991791,0,17.12479917,0.999988273,2.999964819,2.999964819,0,9.999882729,41.99950746,0,0,0,8.749897388,0,2.999964819
SD74,Gold Trail,0,0.999988273,0,0,0,0,2.999964819,2.999964819,1.999976546,0,1.999976546,0,0,2.999964819,0,0,0.999988273,0,0,0,0.999988273,0.999988273,0,0,0,0.999988273,0,0,0,0.999988273,0.999988273,0,0,4.624945762,0,0,0,0,0,0,0.999988273,0,0,1.999976546,0,0,18.49978305,0,0.999988273,2.999964819,0,0,0,1.874978012,0,0,0,0,0,0.999988273
SD75,Mission Public,0.999988273,0.999988273,1.999976546,0,0,0.999988273,1.999976546,4.999941364,11.99985927,2.999964819,26.99968337,102.8737936,11.12486954,11.87486074,3.999953092,0,3.999953092,2.999964819,0,24.24971562,7.999906183,0.999988273,0.999988273,0,0,0.999988273,0,0,1.124986807,3.999953092,1.999976546,1.999976546,6.99991791,6.99991791,1.999976546,0,0,0,0,0,1.999976546,3.999953092,2.999964819,0,4.999941364,5.999929637,7.999906183,0,0,3.999953092,0,0,0.999988273,6.99991791,0,0,0,0.999988273,0,0.999988273
SD78,Fraser - Cascade,0,0,0,0,0.999988273,0.999988273,0,0,8.999894456,0,29.99964819,14.99982409,0,4.999941364,0,0.999988273,0,0,2.999964819,0.999988273,0,0,0,6.99991791,0,0,0,0,0.999988273,0,0,0,1.999976546,0.999988273,0,3.999953092,0.999988273,0.999988273,1.999976546,0,1.999976546,0,0,0,2.12497508,0.999988273,0.999988273,0,2.999964819,0,1.999976546,0,0.999988273,0,0,0,0,0.999988273,0,0
SD79,Cowichan Valley,0,0.999988273,0.999988273,0,1.124986807,0.999988273,1.999976546,3.124963353,0.999988273,0,0,1.999976546,2.999964819,3.124963353,4.124951626,0,2.999964819,0,0,0.999988273,0,0,0,1.999976546,0,0,0,0,0.999988273,0,0,2.999964819,0.999988273,0,2.999964819,2.999964819,26.12469363,33.87460274,30.49964232,13.24984462,0.999988273,49.1244239,5.374936967,4.999941364,15.62481676,2.249973614,4.999941364,1.999976546,0,0,0,0,2.999964819,1.999976546,0.999988273,1.999976546,0,7.124916444,0,0
SD81,Fort Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999976546,0.999988273,4.999941364,15.12482263,0,0,0,0,0,0.874989739,0,0,0,0,0,0,0.999988273,0,0,0,0,0,0,0,0,0.999988273,0,0
SD82,Coast Mountains,0.999988273,0,0.999988273,0.999988273,0,0.999988273,0.999988273,5.999929637,7.999906183,0.999988273,2.999964819,0.999988273,1.999976546,4.749944296,0,0,6.99991791,2.999964819,3.999953092,0,3.999953092,0,0,0,1.999976546,0,0,3.999953092,0.999988273,9.12489299,0.874989739,10.999871,16.99980064,1.999976546,0,4.999941364,3.999953092,0.999988273,1.999976546,0,0.999988273,4.999941364,1.999976546,1.999976546,1.999976546,0,16.1248109,0,0,0,4.999941364,0,0,0.999988273,0,0,2.999964819,8.124904717,16.74980357,3.999953092
SD83,Okanagan - Shuswap,0.999988273,3.874954557,2.999964819,0,1.999976546,1.999976546,55.96814365,16.24980943,3.999953092,0,8.999894456,3.124963353,2.999964819,3.999953092,0,0.999988273,0,3.999953092,0,0,0.999988273,0.999988273,0,0,2.874966285,0,0,0,0,1.999976546,0.999988273,1.999976546,5.999929637,2.249973614,3.999953092,2.999964819,3.999953092,0,3.999953092,0.999988273,1.999976546,0.999988273,0.999988273,0.999988273,0.999988273,1.999976546,34.62459395,0,1.999976546,0,0.999988273,0,0.999988273,0,0,0,0,1.999976546,0,1.999976546
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,0,0,0,0.999988273,0,0,0,0,9.999882729,0.999988273,2.999964819,4.24995016,6.749920842,0,0,0,0,1.999976546,0,0,0,0,1.249985341,0,0,0,0
SD85,Vancouver Island North,0,0,0,0,0,0,0.999988273,0,0,5.124939898,1.999976546,0,0,1.999976546,0,0,0.999988273,0,3.249961887,0,0,0.999988273,0,0,2.12497508,0,0,0,0,0,0,0,0.999988273,0,0,0,5.124939898,0.999988273,7.249914978,0,0.999988273,3.999953092,0.999988273,4.999941364,10.49987687,11.12486954,0,0,0,0,3.999953092,0,0,0,0,0,0.999988273,0.124998534,0,0
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999988273,6.99991791,2.999964819,0.999988273,0.999988273,0.999988273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99983582,0,2.999964819,0,0,0,0,0
SD91,Nechako Lakes,6.124928171,1.999976546,0.999988273,0.124998534,0,0,2.999964819,5.999929637,5.124939898,3.999953092,6.99991791,2.249973614,1.999976546,4.24995016,0.999988273,1.999976546,7.124916444,1.999976546,0,0.374995602,0,0.624992671,0,4.999941364,0,0,0,0,0.124998534,0,3.999953092,10.999871,49.24942244,4.999941364,1.999976546,0.999988273,0.999988273,3.999953092,1.124986807,0.999988273,2.999964819,1.999976546,0,0,3.999953092,3.999953092,5.374936967,1.999976546,4.24995016,0,2.999964819,0,5.999929637,2.999964819,0,2.374972148,0,0,0,0
SD92,Nisga'a,0,0,0,0,0,0,0,0.999988273,0.999988273,0,0,1.999976546,0,0.999988273,0,1.999976546,2.999964819,0,1.999976546,0,0,0,0,0,0,0,0,0,0,2.999964819,0,0,2.999964819,0,0,0,0,2.999964819,0,0,0,0,0,0,0,0,1.999976546,0,0,0,0,0,19.99976546,0,0,0,0,0,0,0
SD93,Conseil Scolaire Francophone,2.999964819,0.999988273,9.999882729,0,4.999941364,3.999953092,1.999976546,12.99984755,0,0,14.74982702,8.999894456,7.999906183,18.74978012,12.24985634,21.999742,36.9995661,3.999953092,16.99980064,4.999941364,25.74969803,49.99941364,14.99982409,7.999906183,25.12470536,23.99971855,0,0,0,0,0.999988273,0,8.999894456,0,0,0,31.4996306,11.12486954,6.99991791,2.999964819,7.999906183,10.12488126,2.999964819,2.999964819,29.74965112,9.999882729,9.999882729,0.999988273,4.999941364,0,1.374983875,0,4.999941364,0,0,0,0,1.874978012,0,0