ABBREV,DISTRICT,SCHOOL_YEAR,DEMOGRAPHICS,MIGRATION,RETENTION,TRANSITION,CURRENT_YEAR_ENROLMENT
SD05,Southeast Kootenay,2015,-11,51,32,96,5339
SD05,Southeast Kootenay,2016,-23,27,22,49,5414
SD05,Southeast Kootenay,2017,-69,45,12,47,5449
SD05,Southeast Kootenay,2018,-20,23,6,86,5544
SD05,Southeast Kootenay,2019,-2,34,45,50,5671
SD05,Southeast Kootenay,2020,-33,-81,-18,9,5549
SD06,Rocky Mountain,2015,13,23,3,22,3069
SD06,Rocky Mountain,2016,-1,33,1,14,3116
SD06,Rocky Mountain,2017,42,39,-23,16,3189
SD06,Rocky Mountain,2018,37,60,-44,27,3269
SD06,Rocky Mountain,2019,53,-8,-3,0,3310
SD06,Rocky Mountain,2020,14,-7,-17,3,3303
SD08,Kootenay Lake,2015,-46,88,-115,26,4635
SD08,Kootenay Lake,2016,-16,124,-35,59,4767
SD08,Kootenay Lake,2017,-81,46,-36,77,4773
SD08,Kootenay Lake,2018,-79,14,-83,58,4682
SD08,Kootenay Lake,2019,3,42,-54,119,4792
SD08,Kootenay Lake,2020,-35,15,-106,17,4684
SD10,Arrow Lakes,2015,2,-12,-6,-2,440
SD10,Arrow Lakes,2016,-6,5,4,-1,442
SD10,Arrow Lakes,2017,-17,7,0,3,435
SD10,Arrow Lakes,2018,9,13,3,-4,456
SD10,Arrow Lakes,2019,4,-7,1,7,461
SD10,Arrow Lakes,2020,13,41,2,-3,514
SD19,Revelstoke,2015,-4,14,-11,-2,924
SD19,Revelstoke,2016,24,14,1,-8,955
SD19,Revelstoke,2017,-3,14,2,1,970
SD19,Revelstoke,2018,39,12,5,7,1033
SD19,Revelstoke,2019,27,-46,0,-6,1008
SD19,Revelstoke,2020,20,0,-3,-2,1022
SD20,Kootenay - Columbia,2015,-95,38,-4,35,3675
SD20,Kootenay - Columbia,2016,21,66,67,11,3839
SD20,Kootenay - Columbia,2017,7,25,72,2,3945
SD20,Kootenay - Columbia,2018,-10,33,-58,25,3935
SD20,Kootenay - Columbia,2019,10,39,-14,10,3980
SD20,Kootenay - Columbia,2020,4,-47,-15,-41,3881
SD22,Vernon,2015,-66,151,35,21,8185
SD22,Vernon,2016,-27,123,-20,13,8274
SD22,Vernon,2017,-14,132,-14,8,8385
SD22,Vernon,2018,-18,66,-6,-9,8418
SD22,Vernon,2019,2,85,5,15,8526
SD22,Vernon,2020,-69,56,-5,-21,8487
SD23,Central Okanagan,2015,-525,454,224,87,21643
SD23,Central Okanagan,2016,-297,485,221,12,22064
SD23,Central Okanagan,2017,-436,354,7,95,22083
SD23,Central Okanagan,2018,-135,367,362,3,22679
SD23,Central Okanagan,2019,-251,404,86,139,23057
SD23,Central Okanagan,2020,-201,407,-106,-18,23140
SD27,Cariboo - Chilcotin,2015,-18,-17,-8,31,4553
SD27,Cariboo - Chilcotin,2016,-19,21,-28,35,4563
SD27,Cariboo - Chilcotin,2017,11,39,-27,52,4638
SD27,Cariboo - Chilcotin,2018,9,32,-10,27,4696
SD27,Cariboo - Chilcotin,2019,6,-67,-29,-13,4592
SD27,Cariboo - Chilcotin,2020,-7,-141,-34,3,4413
SD28,Quesnel,2015,-76,45,9,27,3058
SD28,Quesnel,2016,-58,23,5,17,3044
SD28,Quesnel,2017,-86,-16,19,28,2990
SD28,Quesnel,2018,-17,-13,1,15,2976
SD28,Quesnel,2019,-6,29,-27,0,2972
SD28,Quesnel,2020,21,-39,-25,-2,2927
SD33,Chilliwack,2015,-148,373,68,24,12756
SD33,Chilliwack,2016,-113,357,141,32,13174
SD33,Chilliwack,2017,-123,280,93,-2,13422
SD33,Chilliwack,2018,-44,145,149,-3,13668
SD33,Chilliwack,2019,-238,255,163,4,13851
SD33,Chilliwack,2020,-134,114,218,-75,13974
SD34,Abbotsford,2015,-100,123,168,1,18947
SD34,Abbotsford,2016,6,259,235,-17,19431
SD34,Abbotsford,2017,-78,-70,86,-63,19307
SD34,Abbotsford,2018,-15,140,222,-25,19628
SD34,Abbotsford,2019,-93,196,-41,-80,19610
SD34,Abbotsford,2020,-21,-79,40,-122,19428
SD35,Langley,2015,55,399,-86,-27,19224
SD35,Langley,2016,245,420,4,27,19921
SD35,Langley,2017,96,347,-10,6,20360
SD35,Langley,2018,52,169,-14,-13,20554
SD35,Langley,2019,129,278,-29,-42,20890
SD35,Langley,2020,97,193,70,-80,21171
SD36,Surrey,2015,-363,886,-13,361,68378
SD36,Surrey,2016,-315,1317,-195,188,69373
SD36,Surrey,2017,57,842,-167,225,70331
SD36,Surrey,2018,-140,917,13,362,71483
SD36,Surrey,2019,-193,1513,-568,287,72522
SD36,Surrey,2020,-53,230,-932,169,71936
SD37,Delta,2015,-233,372,-70,57,15387
SD37,Delta,2016,-268,228,-73,63,15338
SD37,Delta,2017,-183,178,-67,79,15345
SD37,Delta,2018,-162,160,-69,79,15353
SD37,Delta,2019,-189,387,-110,50,15491
SD37,Delta,2020,-274,318,147,76,15759
SD38,Richmond,2015,-514,278,-7,-60,19876
SD38,Richmond,2016,-445,98,-57,-69,19403
SD38,Richmond,2017,-112,173,-102,-23,19339
SD38,Richmond,2018,-223,274,10,12,19412
SD38,Richmond,2019,-40,424,-98,-36,19662
SD38,Richmond,2020,-89,212,-55,-31,19698
SD39,Vancouver,2015,-593,388,-269,-156,49709
SD39,Vancouver,2016,-298,384,-107,-181,49507
SD39,Vancouver,2017,-370,312,-173,-144,49132
SD39,Vancouver,2018,-454,476,-59,-140,48955
SD39,Vancouver,2019,-275,478,-394,-86,48680
SD39,Vancouver,2020,-113,94,-131,-78,48451
SD40,New Westminster,2015,141,19,-26,9,6428
SD40,New Westminster,2016,150,-138,-16,0,6425
SD40,New Westminster,2017,182,31,-46,-34,6558
SD40,New Westminster,2018,176,-69,-37,-49,6578
SD40,New Westminster,2019,145,-153,-57,-29,6484
SD40,New Westminster,2020,111,-22,-40,-16,6517
SD41,Burnaby,2015,-311,299,57,31,23187
SD41,Burnaby,2016,-297,403,-9,27,23310
SD41,Burnaby,2017,-117,215,37,9,23454
SD41,Burnaby,2018,-245,151,94,-19,23434
SD41,Burnaby,2019,-139,508,46,26,23875
SD41,Burnaby,2020,-282,92,-60,18,23644
SD42,Maple Ridge - Pitt Meadows,2015,91,211,52,18,14028
SD42,Maple Ridge - Pitt Meadows,2016,-17,129,95,18,14253
SD42,Maple Ridge - Pitt Meadows,2017,-42,111,69,-3,14390
SD42,Maple Ridge - Pitt Meadows,2018,39,49,73,17,14568
SD42,Maple Ridge - Pitt Meadows,2019,71,64,133,11,14847
SD42,Maple Ridge - Pitt Meadows,2020,23,121,28,-10,15009
SD43,Coquitlam,2015,-438,573,197,39,30620
SD43,Coquitlam,2016,-638,336,230,43,30591
SD43,Coquitlam,2017,-534,396,154,1,30609
SD43,Coquitlam,2018,-613,332,276,51,30655
SD43,Coquitlam,2019,-511,375,307,62,30889
SD43,Coquitlam,2020,-497,309,503,-29,31175
SD44,North Vancouver,2015,19,234,-51,-22,15261
SD44,North Vancouver,2016,-71,57,-128,-63,15055
SD44,North Vancouver,2017,38,126,-52,-48,15120
SD44,North Vancouver,2018,-88,147,-27,-26,15126
SD44,North Vancouver,2019,17,293,-151,33,15317
SD44,North Vancouver,2020,16,88,-71,-19,15332
SD45,West Vancouver,2015,-233,267,69,-43,6787
SD45,West Vancouver,2016,-208,245,40,-53,6811
SD45,West Vancouver,2017,-223,293,48,-32,6898
SD45,West Vancouver,2018,-293,270,69,-28,6917
SD45,West Vancouver,2019,-291,291,86,-4,6997
SD45,West Vancouver,2020,-200,189,37,-78,6945
SD46,Sunshine Coast,2015,-10,63,4,37,3121
SD46,Sunshine Coast,2016,11,1,-2,9,3140
SD46,Sunshine Coast,2017,11,18,-6,-6,3157
SD46,Sunshine Coast,2018,30,68,-11,12,3256
SD46,Sunshine Coast,2019,38,-14,-15,5,3270
SD46,Sunshine Coast,2020,28,-43,-49,-6,3200
SD47,Powell River,2015,17,-11,-50,39,1854
SD47,Powell River,2016,44,41,-59,41,1920
SD47,Powell River,2017,48,52,-26,53,2048
SD47,Powell River,2018,26,43,-93,33,2056
SD47,Powell River,2019,91,364,-72,50,2488
SD47,Powell River,2020,77,350,-78,92,2929
SD48,Sea to Sky,2015,111,66,2,39,4604
SD48,Sea to Sky,2016,99,-7,6,15,4717
SD48,Sea to Sky,2017,98,24,52,14,4904
SD48,Sea to Sky,2018,74,-3,57,13,5044
SD48,Sea to Sky,2019,35,-13,63,29,5158
SD48,Sea to Sky,2020,5,70,22,10,5266
SD49,Central Coast,2015,6,1,1,6,207
SD49,Central Coast,2016,6,1,0,6,221
SD49,Central Coast,2017,-2,10,1,6,235
SD49,Central Coast,2018,6,1,0,22,265
SD49,Central Coast,2019,0,-9,0,-34,222
SD49,Central Coast,2020,7,-1,-1,4,231
SD50,Haida Gwaii - Queen Charlotte,2015,-7,12,-4,-2,545
SD50,Haida Gwaii - Queen Charlotte,2016,-14,-12,-6,4,517
SD50,Haida Gwaii - Queen Charlotte,2017,-9,6,-4,0,511
SD50,Haida Gwaii - Queen Charlotte,2018,-37,-7,-4,-1,461
SD50,Haida Gwaii - Queen Charlotte,2019,-6,-2,0,-5,448
SD50,Haida Gwaii,2020,-2,-1,-2,-3,440
SD51,Boundary,2015,7,-1,-13,10,1248
SD51,Boundary,2016,7,40,1,-9,1286
SD51,Boundary,2017,3,7,2,-14,1284
SD51,Boundary,2018,-8,-26,-18,17,1250
SD51,Boundary,2019,-8,15,-8,-10,1238
SD51,Boundary,2020,-11,31,1,-19,1241
SD52,Prince Rupert,2015,-4,-11,-14,34,2047
SD52,Prince Rupert,2016,-44,-34,-10,20,1979
SD52,Prince Rupert,2017,5,-33,-22,32,1961
SD52,Prince Rupert,2018,11,-23,31,15,1994
SD52,Prince Rupert,2019,-34,-12,-6,25,1967
SD52,Prince Rupert,2020,-35,-83,-27,9,1831
SD53,Okanagan Similkameen,2015,-55,-2,-29,20,2218
SD53,Okanagan Similkameen,2016,-13,89,-4,22,2312
SD53,Okanagan Similkameen,2017,-41,56,-12,-3,2313
SD53,Okanagan Similkameen,2018,-31,54,-1,1,2337
SD53,Okanagan Similkameen,2019,-23,-21,-15,12,2290
SD53,Okanagan Similkameen,2020,-49,53,-17,13,2291
SD54,Bulkley Valley,2015,-63,12,7,39,2064
SD54,Bulkley Valley,2016,-24,-70,2,30,2003
SD54,Bulkley Valley,2017,-34,-17,-10,27,1969
SD54,Bulkley Valley,2018,-40,7,-16,28,1948
SD54,Bulkley Valley,2019,-6,5,0,-4,1944
SD54,Bulkley Valley,2020,-19,-19,-21,46,1931
SD57,Prince George,2015,-93,-42,63,111,12688
SD57,Prince George,2016,-56,62,32,79,12805
SD57,Prince George,2017,-95,103,40,122,12975
SD57,Prince George,2018,-75,46,8,66,13021
SD57,Prince George,2019,-13,-20,53,51,13092
SD57,Prince George,2020,-35,-216,-18,26,12848
SD58,Nicola - Similkameen,2015,3,76,-81,20,2062
SD58,Nicola - Similkameen,2016,-7,111,-88,15,2092
SD58,Nicola - Similkameen,2017,0,46,-99,2,2040
SD58,Nicola - Similkameen,2018,-13,78,-63,19,2061
SD58,Nicola - Similkameen,2019,-3,34,-33,-13,2046
SD58,Nicola - Similkameen,2020,-33,10,-61,-5,1959
SD59,Peace River South,2015,15,-104,52,47,3492
SD59,Peace River South,2016,5,-82,-4,53,3464
SD59,Peace River South,2017,35,-33,-26,48,3488
SD59,Peace River South,2018,29,-6,-9,76,3577
SD59,Peace River South,2019,30,-27,-32,74,3622
SD59,Peace River South,2020,22,-74,-23,12,3558
SD60,Peace River North,2015,247,70,-42,49,5997
SD60,Peace River North,2016,125,-98,-124,-12,5889
SD60,Peace River North,2017,204,-13,-39,4,6045
SD60,Peace River North,2018,189,-69,-76,-36,6053
SD60,Peace River North,2019,132,-26,-105,67,6121
SD60,Peace River North,2020,144,-179,-35,-21,6030
SD61,Greater Victoria,2015,67,150,24,32,18703
SD61,Greater Victoria,2016,76,25,15,61,18879
SD61,Greater Victoria,2017,272,-14,-45,30,19123
SD61,Greater Victoria,2018,196,19,135,35,19507
SD61,Greater Victoria,2019,82,85,23,-50,19648
SD61,Greater Victoria,2020,-50,-416,244,-73,19352
SD62,Sooke,2015,320,241,-210,29,9515
SD62,Sooke,2016,257,382,-95,28,10087
SD62,Sooke,2017,286,174,-122,34,10459
SD62,Sooke,2018,262,198,-102,15,10832
SD62,Sooke,2019,147,246,-90,-21,11114
SD62,Sooke,2020,276,71,-148,-58,11255
SD63,Saanich,2015,-61,314,-228,45,6911
SD63,Saanich,2016,-81,279,-220,20,6909
SD63,Saanich,2017,42,392,-389,50,7004
SD63,Saanich,2018,-18,329,-260,28,7083
SD63,Saanich,2019,-16,276,-239,18,7122
SD63,Saanich,2020,-5,507,-226,8,7406
SD64,Gulf Islands,2015,-25,71,-5,6,1707
SD64,Gulf Islands,2016,-15,9,7,12,1719
SD64,Gulf Islands,2017,-14,-12,-24,27,1697
SD64,Gulf Islands,2018,-11,51,-8,7,1736
SD64,Gulf Islands,2019,-57,-178,-4,-21,1477
SD64,Gulf Islands,2020,-28,-15,-2,-1,1431
SD67,Okanagan Skaha,2015,-85,84,41,40,5671
SD67,Okanagan Skaha,2016,-169,145,17,27,5691
SD67,Okanagan Skaha,2017,-163,98,67,57,5749
SD67,Okanagan Skaha,2018,-143,85,80,53,5825
SD67,Okanagan Skaha,2019,-192,34,19,25,5711
SD67,Okanagan Skaha,2020,-146,65,-72,-24,5534
SD68,Nanaimo - Ladysmith,2015,63,161,-85,47,13052
SD68,Nanaimo - Ladysmith,2016,88,328,-36,-15,13416
SD68,Nanaimo - Ladysmith,2017,179,254,-141,12,13720
SD68,Nanaimo - Ladysmith,2018,235,161,-109,16,14022
SD68,Nanaimo - Ladysmith,2019,83,226,-24,-23,14285
SD68,Nanaimo - Ladysmith,2020,168,127,-249,-28,14304
SD69,Qualicum,2015,38,94,-60,2,3950
SD69,Qualicum,2016,-28,114,-38,13,4011
SD69,Qualicum,2017,25,49,-46,1,4040
SD69,Qualicum,2018,20,101,-70,5,4096
SD69,Qualicum,2019,36,67,-56,10,4153
SD69,Qualicum,2020,70,95,-96,2,4226
SD70,Alberni,2015,-32,70,-9,73,3640
SD70,Alberni,2016,16,55,27,25,3762
SD70,Alberni,2017,-95,37,-6,46,3745
SD70,Alberni,2018,-29,-4,-14,38,3734
SD70,Alberni,2019,-28,32,22,46,3806
SD70,Pacific Rim,2020,-10,-83,2,11,3727
SD71,Comox Valley,2015,84,187,-372,-3,7376
SD71,Comox Valley,2016,95,420,-153,65,7802
SD71,Comox Valley,2017,202,439,-259,39,8222
SD71,Comox Valley,2018,145,265,-365,11,8277
SD71,Comox Valley,2019,146,251,-123,1,8552
SD71,Comox Valley,2020,198,809,-178,106,9488
SD72,Campbell River,2015,-21,53,21,9,5225
SD72,Campbell River,2016,14,86,24,-5,5344
SD72,Campbell River,2017,-53,65,50,-4,5401
SD72,Campbell River,2018,-38,68,37,-5,5463
SD72,Campbell River,2019,20,-16,-4,2,5464
SD72,Campbell River,2020,-26,-5,-1,-15,5419
SD73,Kamloops - Thompson,2015,-297,156,17,81,13939
SD73,Kamloops - Thompson,2016,-148,203,67,41,14101
SD73,Kamloops - Thompson,2017,-81,283,70,-13,14359
SD73,Kamloops - Thompson,2018,-75,195,94,18,14591
SD73,Kamloops - Thompson,2019,20,177,20,23,14832
SD73,Kamloops - Thompson,2020,-13,-24,-48,19,14766
SD74,Gold Trail,2015,12,-12,-6,20,1111
SD74,Gold Trail,2016,-10,25,-28,9,1107
SD74,Gold Trail,2017,23,-34,-14,26,1109
SD74,Gold Trail,2018,5,-10,0,-13,1090
SD74,Gold Trail,2019,17,-4,-8,7,1102
SD74,Gold Trail,2020,-4,-48,-11,3,1042
SD75,Mission Public,2015,113,59,-44,-7,5761
SD75,Mission Public,2016,107,62,11,-10,5930
SD75,Mission Public,2017,105,55,-59,25,6058
SD75,Mission Public,2018,116,-122,-8,29,6073
SD75,Mission Public,2019,111,16,-40,-14,6145
SD75,Mission Public,2020,189,17,-133,-29,6189
SD78,Fraser - Cascade,2015,-1,18,21,33,1644
SD78,Fraser - Cascade,2016,24,24,-2,-6,1684
SD78,Fraser - Cascade,2017,0,-40,14,5,1662
SD78,Fraser - Cascade,2018,11,28,11,28,1738
SD78,Fraser - Cascade,2019,11,-75,5,-1,1679
SD78,Fraser - Cascade,2020,-6,-54,6,13,1639
SD79,Cowichan Valley,2015,-33,112,22,34,7397
SD79,Cowichan Valley,2016,-5,137,22,32,7583
SD79,Cowichan Valley,2017,76,107,-17,41,7790
SD79,Cowichan Valley,2018,111,118,-21,64,8061
SD79,Cowichan Valley,2019,1,97,-24,9,8144
SD79,Cowichan Valley,2020,12,21,-29,-36,8111
SD81,Fort Nelson,2015,10,-18,5,15,769
SD81,Fort Nelson,2016,-2,-54,-8,22,728
SD81,Fort Nelson,2017,13,-26,0,6,721
SD81,Fort Nelson,2018,1,-20,-10,-8,684
SD81,Fort Nelson,2019,14,-23,-8,3,671
SD81,Fort Nelson,2020,-3,-28,-14,9,635
SD82,Coast Mountains,2015,-87,-71,-70,46,4289
SD82,Coast Mountains,2016,-117,-23,-31,12,4129
SD82,Coast Mountains,2017,-40,-12,-58,89,4109
SD82,Coast Mountains,2018,34,-23,-72,55,4102
SD82,Coast Mountains,2019,24,-9,-43,67,4140
SD82,Coast Mountains,2020,-78,-243,-38,50,3831
SD83,Okanagan - Shuswap,2015,-75,99,55,5,5950
SD83,Okanagan - Shuswap,2016,-30,114,19,4,6058
SD83,Okanagan - Shuswap,2017,-32,129,5,8,6167
SD83,Okanagan - Shuswap,2018,-5,162,40,1,6364
SD83,Okanagan - Shuswap,2019,-52,154,-28,-6,6431
SD83,Okanagan - Shuswap,2020,42,24,-1,-71,6425
SD84,Vancouver Island West,2015,4,-29,1,1,366
SD84,Vancouver Island West,2016,10,29,10,-1,414
SD84,Vancouver Island West,2017,-11,18,-3,-2,417
SD84,Vancouver Island West,2018,-10,56,3,-1,464
SD84,Vancouver Island West,2019,-16,17,4,6,474
SD84,Vancouver Island West,2020,-31,-38,-22,-3,381
SD85,Vancouver Island North,2015,-4,-37,5,30,1326
SD85,Vancouver Island North,2016,13,-13,3,31,1360
SD85,Vancouver Island North,2017,-6,-37,8,30,1354
SD85,Vancouver Island North,2018,-13,-9,9,31,1372
SD85,Vancouver Island North,2019,-32,-60,3,7,1290
SD85,Vancouver Island North,2020,-22,-80,-3,21,1205
SD87,Stikine,2015,-2,7,-1,3,191
SD87,Stikine,2016,1,-14,-1,3,180
SD87,Stikine,2017,-4,7,0,6,189
SD87,Stikine,2018,-2,-27,-9,-6,145
SD87,Stikine,2019,1,-5,4,5,151
SD87,Stikine,2020,5,7,-3,8,168
SD91,Nechako Lakes,2015,8,-21,-87,23,3752
SD91,Nechako Lakes,2016,-93,199,-180,42,3720
SD91,Nechako Lakes,2017,-31,224,-334,7,3586
SD91,Nechako Lakes,2018,-33,273,-242,-28,3556
SD91,Nechako Lakes,2019,-52,116,-163,21,3479
SD91,Nechako Lakes,2020,-51,284,-170,39,3581
SD92,Nisga,2015,12,-37,-22,1,375
SD92,Nisga,2016,17,-10,0,2,384
SD92,Nisga,2017,14,-25,13,2,387
SD92,Nisga,2018,6,-24,5,1,374
SD92,Nisga,2019,4,-13,3,5,373
SD92,Nisga,2020,4,2,-10,1,370
SD93,Conseil scolaire francophone,2015,449,-255,19,-31,5556
SD93,Conseil scolaire francophone,2016,461,-269,-16,-28,5705
SD93,Conseil scolaire francophone,2017,491,-193,11,-43,5970
SD93,Conseil scolaire francophone,2018,473,-287,-6,-32,6118
SD93,Conseil scolaire francophone,2019,462,-330,12,-34,6228
SD93,Conseil scolaire francophone,2020,467,-245,1,-12,6439
SD99,Province,2015,-2822,6783,-827,1555,526434
SD99,Province,2016,-2050,7306,-444,869,532116
SD99,Province,2017,-634,6086,-1544,1062,537086
SD99,Province,2018,-799,5509,-200,1055,542650
SD99,Province,2019,-793,6768,-1613,849,547861
SD99,Province,2020,-628,2714,-2083,-231,547633
