DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,C_STU_CG_LAST_YR,C_STU_CG_THIS_YR,C_STU_RG_LAST_YR,C_STU_RG_THIS_YR,ENTER_ADD_LEARNING,EXIT_ADD_LEARNING,DIST_NET_RETENTION,FORECAST_ENROLMENT
5,2015,5170.9,4452.9,-4409.6,33.6,-46.3,10,-9.1,32,5338.9
5,2016,5338.9,4575.6,-4540.3,36.9,-55.9,15.8,-10,22,5414.3
5,2017,5414.3,4614.3,-4587.6,41.3,-54.1,13.8,-15.8,12,5448.9
5,2018,5448.9,4693.5,-4675.1,48,-56.4,10.2,-13.8,6,5544.3
5,2019,5544.3,4836.7,-4778.1,38,-49.6,8.6,-10.2,45,5670.8
5,2020,5670.8,4789.1,-4803.8,28.7,-37.1,13.9,-8.6,-18,5548.6
6,2015,3008,2538.3,-2526.8,35.3,-41.6,0,-1.9,3,3069.3
6,2016,3069.3,2598.1,-2601.4,29.8,-36,10.8,0,1,3116.2
6,2017,3116.2,2678.8,-2686.3,24,-34.3,5.5,-10.8,-23,3188.8
6,2018,3188.8,2736.1,-2762.6,21.5,-38,4.9,-5.5,-44,3268.5
6,2019,3268.5,2841.1,-2842.1,35.4,-38.4,6.4,-4.9,-3,3310.4
6,2020,3310.4,2882.1,-2889.3,17.1,-21.5,0.9,-6.4,-17,3303.4
8,2015,4682.3,3868,-3888.2,-3.9,-88.9,28.3,-30.6,-115,4635.1
8,2016,4635.1,3899.2,-3898,28.2,-70.5,34.6,-28.3,-35,4766.8
8,2017,4766.8,3958.1,-3975.8,31.4,-65.9,50.7,-34.6,-36,4772.9
8,2018,4772.9,3851.8,-3890.4,36.8,-65.9,35.4,-50.7,-83,4682.4
8,2019,4682.4,4031.4,-4045.6,11.4,-42.3,26.6,-35.4,-54,4791.9
8,2020,4791.9,3960,-4032.4,26.1,-47.7,15.1,-26.6,-106,4684.2
10,2015,457.4,371.8,-376.6,2,-2.6,3.9,-4.3,-6,440.4
10,2016,440.4,356.4,-351.9,2,-5.6,6.9,-3.9,4,442.1
10,2017,442.1,353.4,-350.9,4.1,-5.6,5.8,-6.9,0,435.3
10,2018,435.3,355.7,-349.2,1.3,-1,2,-5.8,3,456.4
10,2019,456.4,384.4,-380.3,0.5,-2.3,0.5,-2,1,461.2
10,2020,461.2,394.7,-391.8,1.4,-2.4,0.6,-0.5,2,514
19,2015,927.3,790,-799.9,6,-7.1,0,-0.3,-11,923.9
19,2016,923.9,799,-791.6,4.8,-10.9,0,0,1,955.3
19,2017,955.3,816.5,-809.5,10,-14.6,0,0,2,969.6
19,2018,969.6,847.8,-839.1,6.3,-9.6,0,0,5,1032.6
19,2019,1032.6,848.7,-845.1,6.5,-10.3,0,0,0,1007.6
19,2020,1007.6,872.3,-869.6,10.6,-16.5,0,0,-3,1022.3
20,2015,3700.4,3136.9,-3138.2,24.9,-26.5,0.1,-1,-4,3675.3
20,2016,3675.3,3185.5,-3109.6,38.6,-48.9,1,-0.1,67,3839
20,2017,3839,3339.9,-3268.1,32.1,-49.5,18.4,-1,72,3944.6
20,2018,3944.6,3312.8,-3339.4,52.8,-68.9,3.5,-18.4,-58,3935.4
20,2019,3935.4,3407.6,-3402.3,33.8,-50.4,0.8,-3.5,-14,3980.1
20,2020,3980.1,3337.3,-3335.3,23.8,-40.4,0.1,-0.8,-15,3880.8
22,2015,8044,6917.4,-6862.2,91.4,-110.6,31.9,-32.6,35,8185.3
22,2016,8185.3,6919.6,-6904.9,100.2,-137.9,34.8,-31.9,-20,8273.8
22,2017,8273.8,6970.6,-6939.3,128,-166.8,28.3,-34.8,-14,8385.3
22,2018,8385.3,7101.8,-7073.1,99.9,-131.1,24.6,-28.3,-6,8418.1
22,2019,8418.1,7214.3,-7184.8,130.4,-155.7,25.4,-24.6,5,8525.5
22,2020,8525.5,7325.1,-7313.6,58.1,-74.1,24.6,-25.4,-5,8486.5
23,2015,21403.9,18405.9,-18131.8,102,-120.3,88.1,-120.1,224,21643
23,2016,21643,18707.3,-18496.8,98.9,-127.4,127,-88.1,221,22064.3
23,2017,22064.3,18959,-18813,76.3,-106.2,17.5,-127,7,22083.3
23,2018,22083.3,19289.1,-19049.1,116.8,-145.1,167.7,-17.5,362,22679.1
23,2019,22679.1,19564.3,-19437.4,111.9,-142.6,156.9,-167.7,85,23057.2
23,2020,23057.2,19820.3,-19772.1,130.9,-150.1,22.2,-156.9,-106,23139.6
27,2015,4565.7,3777.5,-3773.7,78.1,-89.1,8,-9.3,-8,4553.3
27,2016,4553.3,3776.2,-3795.6,51.9,-60.8,8.8,-8,-28,4562.9
27,2017,4562.9,3735.5,-3744.3,115.5,-126.5,1.9,-8.8,-27,4638.4
27,2018,4638.4,3836.6,-3837.3,82.4,-93.9,3.5,-1.9,-10,4695.9
27,2019,4695.9,3834.9,-3845.3,58.3,-76.3,2.6,-3.5,-29,4592.3
27,2020,4592.3,3729.6,-3755,77.3,-83.5,0,-2.6,-34,4413.3
28,2015,3052.9,2561.6,-2544.6,21.8,-30.5,1,-0.5,9,3057.5
28,2016,3057.5,2590.4,-2575.1,37.3,-47.5,1.4,-1,5,3044
28,2017,3044,2560,-2531.5,28.9,-37.9,1.1,-1.4,19,2990
28,2018,2990,2551.3,-2538.9,22.5,-34.4,1.6,-1.1,1,2975.8
28,2019,2975.8,2524.1,-2534.8,20.1,-37.5,2.6,-1.6,-27,2971.7
28,2020,2971.7,2530.3,-2550.3,26.8,-33.6,4.8,-2.6,-25,2926.8
33,2015,12438.3,10605.7,-10436.4,98.4,-170.8,106.1,-135.3,68,12756.2
33,2016,12756.2,10860.4,-10640.6,129.8,-206.8,104.1,-106.1,141,13173.6
33,2017,13173.6,11221,-11051.4,102.7,-178.8,103.6,-104.1,93,13421.5
33,2018,13421.5,11486.1,-11207.8,158.3,-196.6,12.6,-103.6,149,13668.2
33,2019,13668.2,11715.5,-11519.9,198.4,-230.9,12.3,-12.6,163,13851.4
33,2020,13851.4,11988.9,-11756.3,162.4,-182,16.7,-12.3,218,13973.9
34,2015,18756.2,16094.7,-15857.9,172.1,-262.3,45.5,-24.1,168,18947.3
34,2016,18947.3,16260.8,-15925.3,220.4,-318.2,42.9,-45.5,235,19430.8
34,2017,19430.8,16476.6,-16295.4,218.6,-308.3,37.8,-42.9,86,19306.6
34,2018,19306.6,16526.4,-16232.8,220.1,-285.6,31.3,-37.8,222,19627.8
34,2019,19627.8,16635.6,-16586.3,208.1,-315.1,47.8,-31.3,-41,19609.8
34,2020,19609.8,16644,-16556.5,176.6,-220.9,44.3,-47.8,40,19428.1
35,2015,18884,16173.9,-16176.8,219.4,-301.6,14.3,-15.4,-86,19224.4
35,2016,19224.4,16595.4,-16500.8,165.8,-253.6,11.9,-14.3,4,19921.3
35,2017,19921.3,17181.8,-17082.5,163.6,-274.5,13.9,-11.9,-10,20360.3
35,2018,20360.3,17537.5,-17463.2,166.8,-250.8,9.8,-13.9,-14,20554.3
35,2019,20554.3,17838.3,-17791.8,188.4,-266.4,11.9,-9.8,-29,20890
35,2020,20890,18069.6,-18029.4,159.1,-201.6,83.8,-11.9,70,21170.9
36,2015,67506.5,58037.6,-57856.6,581.7,-784.9,112.9,-103.3,-13,68378
36,2016,68378,58484.3,-58481.4,654.2,-846.6,107.3,-112.9,-195,69373.1
36,2017,69373.1,59590.8,-59550.3,647.9,-824.9,76.9,-107.3,-167,70330.9
36,2018,70330.9,60756.1,-60625.8,543.6,-678.1,93.8,-76.9,13,71483.1
36,2019,71483.1,61582.8,-61997.7,442.6,-604.8,103.1,-93.8,-568,72522.3
36,2020,72522.3,62290.9,-63096.6,373.4,-607.5,210.6,-103.1,-932,71935.9
37,2015,15262,13217,-13234,56.8,-107.3,28.8,-31.6,-70,15387.4
37,2016,15387.4,13115.4,-13153.7,51.5,-80.6,23.5,-28.8,-73,15337.8
37,2017,15337.8,13201.9,-13227.9,49.3,-91.3,24.8,-23.5,-67,15345.2
37,2018,15345.2,13199.7,-13242.6,45.8,-83,35.6,-24.8,-69,15352.7
37,2019,15352.7,13188.1,-13267.4,52.8,-84.2,36.6,-35.6,-110,15491.2
37,2020,15491.2,13620.6,-13462.6,49.6,-95.7,71.5,-36.6,147,15759.1
38,2015,20179,17098.5,-17099.2,138.1,-197,74.8,-21.9,-7,19876
38,2016,19876,16715.1,-16750.6,127.4,-158.8,84.4,-74.8,-57,19402.8
38,2017,19402.8,16538.3,-16594.8,96.5,-132.6,74.9,-84.4,-102,19338.7
38,2018,19338.7,16576.6,-16518.7,104.1,-150.8,74,-74.9,10,19412
38,2019,19412,16600.9,-16682.5,97.1,-131.1,91.3,-74,-98,19661.7
38,2020,19661.7,17031.9,-17058.5,109.8,-156.6,109.9,-91.3,-55,19697.9
39,2015,50338.8,42092,-42100.1,327.3,-617.7,329.5,-300.1,-269,49709.4
39,2016,49709.4,41891,-41777.1,291.8,-494.4,311,-329.5,-107,49506.9
39,2017,49506.9,41584.3,-41541.6,310.3,-528.3,313.3,-311,-173,49131.6
39,2018,49131.6,41592.6,-41428.4,295,-518.2,313.8,-313.3,-59,48955.4
39,2019,48955.4,41478.4,-41644.2,258.1,-471.5,299.1,-313.8,-394,48679.6
39,2020,48679.6,41571.7,-41601.1,219.9,-454.1,431.4,-299.1,-131,48451.3
40,2015,6285.3,5154.5,-5153.4,55.9,-92.3,29.9,-20.3,-26,6428.2
40,2016,6428.2,5192.4,-5184.3,58,-72.3,19.8,-29.9,-16,6424.6
40,2017,6424.6,5355.2,-5371.8,65.8,-100.9,25,-19.8,-46,6557.7
40,2018,6557.7,5424.1,-5425.8,37.4,-63.8,15.9,-25,-37,6578.2
40,2019,6578.2,5411.8,-5410.7,33.1,-100,24.7,-15.9,-57,6484.3
40,2020,6484.3,5545.2,-5565.5,50.2,-73.2,28,-24.7,-40,6517.3
41,2015,23110.8,19233.4,-19060.9,180.4,-371.1,268.7,-193.2,57,23187.1
41,2016,23187.1,19217.4,-19056.9,168.9,-291.8,222.1,-268.7,-9,23310.2
41,2017,23310.2,19621.4,-19410.3,159.4,-311.8,200.3,-222.1,37,23454
41,2018,23454,19699.6,-19478.3,126.7,-272.1,218,-200.3,94,23434.3
41,2019,23434.3,19918.8,-19709.1,142.9,-274.3,185.8,-218,46,23875.4
41,2020,23875.4,20058.9,-20033.1,125.2,-231.2,206.3,-185.8,-60,23644
42,2015,13656.1,11986.5,-11847.3,163.1,-244.9,19.4,-25.4,52,14028.1
42,2016,14028.1,12230.4,-12044,144.6,-242.8,25.9,-19.4,95,14252.9
42,2017,14252.9,12348,-12193.8,149.8,-228.5,19.6,-25.9,69,14389.5
42,2018,14389.5,12576.6,-12437.8,157,-226.8,24,-19.6,73,14567.5
42,2019,14567.5,12868.9,-12656,141.8,-229.4,31.3,-24,133,14846.6
42,2020,14846.6,12953.4,-12883.1,75.8,-110.8,23.9,-31.3,28,15008.7
43,2015,30249.9,26245.6,-25946.8,218.4,-369.6,86.6,-37.4,197,30620.4
43,2016,30620.4,26353.3,-25971.6,222.8,-376.5,89,-86.6,230,30591.4
43,2017,30591.4,26407.2,-26109.1,268,-406.1,83.3,-89,154,30609.2
43,2018,30609.2,26530.6,-26161.2,244.8,-353.3,98.3,-83.3,276,30655.4
43,2019,30655.4,26694.8,-26287.3,190,-284.8,92.3,-98.3,307,30888.9
43,2020,30888.9,26960.6,-26521.9,129.2,-233.8,261.2,-92.3,503,31175.4
44,2015,15080.7,13029.8,-13016.8,50.1,-136.3,86.4,-64.7,-51,15260.9
44,2016,15260.9,12947.8,-13021.4,86.1,-126.6,72.3,-86.4,-128,15055.3
44,2017,15055.3,12990.2,-12979.5,52.8,-119.1,76.1,-72.3,-52,15119.8
44,2018,15119.8,13087.4,-13053,54.8,-100.3,60.5,-76.1,-27,15125.9
44,2019,15125.9,13146.8,-13235.7,64.8,-117.3,50.8,-60.5,-151,15317
44,2020,15317,13301.4,-13328.6,56.4,-91.4,41.8,-50.8,-71,15331.6
45,2015,6726.6,5683.8,-5611.9,27,-29.6,0.3,-0.1,69,6787.1
45,2016,6787.1,5720.5,-5679.6,16.8,-17.4,0.3,-0.3,40,6811
45,2017,6811,5772.3,-5724,15.1,-15.1,0,-0.3,48,6898.1
45,2018,6898.1,5779.3,-5726.7,10.1,-10.4,17.1,0,69,6916.5
45,2019,6916.5,5825.8,-5740.5,20.6,-20.3,17.1,-17.1,86,6996.9
45,2020,6996.9,5839.7,-5793.9,12.1,-13.3,10,-17.1,37,6945.1
46,2015,3027.3,2606,-2605.9,25.5,-30.6,15,-6.5,4,3120.9
46,2016,3120.9,2676.8,-2653.9,26.6,-37.6,1.3,-15,-2,3139.9
46,2017,3139.9,2708,-2707.1,26.3,-36.1,4.4,-1.3,-6,3156.9
46,2018,3156.9,2752.5,-2748.2,47.8,-63.4,4.8,-4.4,-11,3256.1
46,2019,3256.1,2841.3,-2844.9,26.4,-35.6,3,-4.8,-15,3270
46,2020,3270,2789.4,-2823.9,35.9,-53.6,6.1,-3,-49,3199.6
47,2015,1859.6,1506.5,-1545.9,19.1,-30.1,4.3,-4.1,-50,1853.8
47,2016,1853.8,1522.9,-1563.6,23.3,-42.5,5.3,-4.3,-59,1920.4
47,2017,1920.4,1657.2,-1672.3,31.5,-49,11.5,-5.3,-26,2047.5
47,2018,2047.5,1632.6,-1681.8,25.5,-69.8,12,-11.5,-93,2055.8
47,2019,2055.8,1695.3,-1747.9,36.5,-60.6,16.5,-12,-72,2487.8
47,2020,2487.8,1992.5,-2035.9,43.1,-67,6,-16.5,-78,2928.8
48,2015,4386.8,3808.6,-3752.5,28.1,-101.4,32.5,-13.5,2,4604
48,2016,4604,3927.1,-3860,29.2,-83.6,25.4,-32.5,6,4716.7
48,2017,4716.7,4100.2,-4010.4,17.6,-71.9,41.8,-25.4,52,4903.7
48,2018,4903.7,4219.3,-4141.5,16.1,-42.6,47.5,-41.8,57,5044.2
48,2019,5044.2,4400.9,-4326.4,24.9,-40.5,51.9,-47.5,63,5158.4
48,2020,5158.4,4487.6,-4414.6,27.1,-60,34,-51.9,22,5266.3
49,2015,193.6,149,-147.5,4.6,-5,0,0,1,207
49,2016,207,161.8,-161,2.3,-3.3,0,0,0,220.5
49,2017,220.5,181.1,-180,6,-6,0,0,1,235.1
49,2018,235.1,202.3,-201.1,1.4,-2.1,0,0,0,264.8
49,2019,264.8,190.1,-190,1,-1,0,0,0,222.1
49,2020,222.1,176,-177,0,0,0,0,-1,230.6
50,2015,545.9,447.3,-450.1,8.6,-9.3,0,0,-4,545
50,2016,545,416.4,-419.5,11.5,-14.5,0.4,0,-6,517.4
50,2017,517.4,413.1,-415.1,8.9,-10.7,0.5,-0.4,-4,510.5
50,2018,510.5,388.8,-390,2.4,-5.1,0,-0.5,-4,461.1
50,2019,461.1,360.7,-360.3,2.1,-2.1,0,0,0,448.1
50,2020,448.1,357.8,-359.8,2,-2.1,0,0,-2,439.8
51,2015,1245,1042.9,-1055.5,16.9,-16.9,0,0,-13,1248.1
51,2016,1248.1,1082.1,-1081.6,13.8,-13.8,0,0,1,1285.8
51,2017,1285.8,1068.6,-1066.6,18,-17.6,0,0,2,1284.1
51,2018,1284.1,1041.3,-1059.1,14.3,-14.1,0,0,-18,1249.6
51,2019,1249.6,1040.9,-1049,9,-9,0.3,0,-8,1238.3
51,2020,1238.3,1040.6,-1040.7,9.8,-8.8,0,-0.3,1,1240.6
52,2015,2041.5,1666.5,-1666.9,38.9,-52.5,0,0,-14,2046.5
52,2016,2046.5,1677,-1677.8,22,-31.4,0.4,0,-10,1978.9
